City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Okhotsk,59.3833,143.3,-17.25,76,2,15.28,RU,1640929322
Punta Arenas,-53.15,-70.9167,46.51,76,75,9.22,CL,1640929501
Hasaki,35.7333,140.8333,43.09,56,29,20.74,JP,1640929501
Hamilton,39.1834,-84.5333,49.98,96,75,4.61,US,1640929215
Arraial do Cabo,-22.9661,-42.0278,73.71,91,100,18.3,BR,1640929502
Hithadhoo,-0.6,73.0833,81.97,71,13,10.2,MV,1640929502
Kloulklubed,7.0419,134.2556,84.7,78,99,15.46,PW,1640929502
Rocha,-34.4833,-54.3333,65.43,98,83,5.35,UY,1640929503
Yellowknife,62.456,-114.3525,-21.48,76,90,8.05,CA,1640929503
Hong Kong,22.2855,114.1577,70.03,71,44,5.99,HK,1640929412
Kumul,42.8,93.45,25.07,49,64,3.33,CN,1640929504
Maningrida,-12.0667,134.2667,86.81,69,76,12.59,AU,1640929504
Hilo,19.7297,-155.09,71.26,88,90,4.61,US,1640929504
Severo-Kuril'sk,50.6789,156.125,33.3,94,100,40.85,RU,1640929504
Ilulissat,69.2167,-51.1,14.02,34,59,6.91,GL,1640929505
Busselton,-33.65,115.3333,79.09,44,81,14.9,AU,1640929505
Mataura,-46.1927,168.8643,68.49,55,98,10.11,NZ,1640929505
Bluff,-46.6,168.3333,68.81,71,99,21.14,NZ,1640929505
Carnarvon,-24.8667,113.6333,82.47,69,0,21.85,AU,1640929506
Qui Nhon,13.7667,109.2333,76.21,76,33,17.31,VN,1640929264
Fairbanks,64.8378,-147.7164,-0.06,76,40,8.05,US,1640929506
Kenai,60.5544,-151.2583,21.15,92,90,10.36,US,1640929508
Mahébourg,-20.4081,57.7,82.26,61,40,12.66,MU,1640929508
Rikitea,-23.1203,-134.9692,78.33,72,92,12.35,PF,1640929508
Plettenberg Bay,-34.0527,23.3716,65.39,65,44,6.76,ZA,1640929509
Sabzawār,36.2126,57.6819,34.88,55,75,4.61,IR,1640929509
Saint Paul Harbor,57.79,-152.4072,35.82,92,100,5.88,US,1640929471
Warangal,18.0,79.5833,78.71,51,0,7.02,IN,1640929429
Bulancak,40.9372,38.2291,40.82,60,0,2.3,TR,1640929509
Dudinka,69.4058,86.1778,-34.42,100,100,3.58,RU,1640929510
Bose,45.4612,8.0137,48.96,56,4,3.13,IT,1640929510
Boulder,40.0833,-105.3505,36.09,45,1,7.0,US,1640929510
San Patricio,28.017,-97.5169,73.89,96,29,6.67,US,1640929511
Clyde River,70.4692,-68.5914,-7.37,84,100,9.22,CA,1640929513
Cherskiy,68.75,161.3,-26.19,99,99,2.59,RU,1640929513
Port Lincoln,-34.7333,135.8667,80.01,47,3,8.03,AU,1640929514
Panacan,9.2463,118.4082,81.88,76,98,21.59,PH,1640929514
Sabha,27.0377,14.4283,50.18,89,0,9.46,LY,1640929515
Yinchuan,38.4681,106.2731,30.38,24,100,3.58,CN,1640929515
Jamestown,42.097,-79.2353,42.08,72,90,1.01,US,1640929516
Saint George,37.1041,-113.5841,46.87,87,90,1.01,US,1640929516
Provideniya,64.3833,-173.3,-6.32,87,94,11.59,RU,1640929516
Tarsus,36.9188,34.8784,48.58,59,75,8.05,TR,1640929516
Esperance,-33.8667,121.9,67.84,74,86,11.95,AU,1640929517
Lompoc,34.6391,-120.4579,54.12,92,90,4.61,US,1640929517
Cape Town,-33.9258,18.4232,67.1,72,0,3.44,ZA,1640929469
Dunedin,-45.8742,170.5036,64.53,68,100,6.55,NZ,1640929517
Opuwo,-18.0607,13.84,71.53,33,100,7.78,NA,1640929518
Hobart,-42.8794,147.3294,93.11,56,20,1.01,AU,1640929240
Along,28.1667,94.7667,67.3,56,76,3.06,IN,1640929518
Cidreira,-30.1811,-50.2056,71.62,88,97,14.09,BR,1640929519
Pevek,69.7008,170.3133,-18.72,99,86,0.78,RU,1640929519
Port Elizabeth,-33.918,25.5701,68.09,82,0,2.3,ZA,1640929520
Port Alfred,-33.5906,26.891,68.47,75,86,11.45,ZA,1640929520
Katsuura,35.1333,140.3,44.11,62,74,24.45,JP,1640929255
Macamic,48.7502,-78.9996,7.03,96,98,3.98,CA,1640929521
Hirara,24.8,125.2833,66.47,59,75,17.27,JP,1640929468
Airai,-8.9266,125.4092,66.94,84,85,3.44,TL,1640929521
Gimbi,9.1667,35.8333,63.54,66,90,2.48,ET,1640929522
Chokurdakh,70.6333,147.9167,-28.93,99,97,2.73,RU,1640929522
Kiryat Gat,31.61,34.7642,60.91,100,100,7.63,IL,1640929522
Hamada,34.8833,132.0833,38.12,61,100,22.21,JP,1640929522
Atambua,-9.1061,124.8925,79.32,76,93,4.36,ID,1640929523
Butaritari,3.0707,172.7902,81.93,78,77,9.53,KI,1640929523
Kapaa,22.0752,-159.319,73.38,88,90,4.0,US,1640929523
Srednekolymsk,67.45,153.6833,-23.8,97,100,4.94,RU,1640929523
Lagoa,39.05,-27.9833,57.09,71,100,29.12,PT,1640929524
Castro,-24.7911,-50.0119,59.38,98,97,5.06,BR,1640929524
Evensk,61.95,159.2333,-11.43,80,9,10.58,RU,1640929524
Shushenskoye,53.325,91.9356,8.28,74,65,2.19,RU,1640929524
Kjøllefjord,70.9457,27.3465,24.44,64,96,11.43,NO,1640929525
Porecatu,-22.7558,-51.3792,70.27,92,8,8.55,BR,1640929525
Qaanaaq,77.484,-69.3632,-13.49,72,81,7.67,GL,1640929525
Tondano,1.3038,124.9112,71.69,82,97,3.56,ID,1640929525
Naples,40.8333,14.25,58.77,64,0,4.0,IT,1640929525
Gladstone,-23.85,151.25,82.33,61,90,13.8,AU,1640929451
Bredasdorp,-34.5322,20.0403,64.27,67,10,6.91,ZA,1640929526
Kahului,20.8947,-156.47,74.84,91,40,8.05,US,1640929527
Trofors,65.5333,13.4063,33.15,97,99,2.95,NO,1640929527
Hofn,64.2539,-15.2082,29.41,69,13,12.3,IS,1640929527
Bulgan,48.8125,103.5347,12.9,70,63,5.01,MN,1640929528
Albany,42.6001,-73.9662,44.1,94,97,1.86,US,1640929528
Zhezkazgan,47.8043,67.7144,6.78,78,40,11.18,KZ,1640929528
Nikolskoye,59.7035,30.7861,24.69,96,98,10.4,RU,1640929529
Izumo,35.3667,132.7667,39.09,56,75,23.02,JP,1640929379
Teahupoo,-17.8333,-149.2667,78.76,79,57,17.76,PF,1640929529
Santa Rosa,14.3122,121.1114,87.78,58,50,20.58,PH,1640929530
Leningradskiy,69.3833,178.4167,-25.17,97,53,5.61,RU,1640929530
Los Llanos de Aridane,28.6585,-17.9182,71.35,30,0,4.0,ES,1640929530
Cabo San Lucas,22.8909,-109.9124,73.06,81,70,3.0,MX,1640929531
Dikson,73.5069,80.5464,-16.46,100,94,1.41,RU,1640929532
New Norfolk,-42.7826,147.0587,91.76,9,31,5.01,AU,1640929532
Verkhoyansk,67.5447,133.385,-48.37,95,88,1.86,RU,1640929532
Gorodishche,48.8045,44.4744,32.88,100,90,8.95,RU,1640929532
Zavitinsk,50.1167,129.45,-15.72,93,51,8.7,RU,1640929533
Berbera,10.4396,45.0143,78.19,64,31,2.46,SO,1640929502
Alvorada,-12.48,-49.1247,70.27,99,100,2.68,BR,1640929534
Mar del Plata,-38.0023,-57.5575,60.87,88,0,5.99,AR,1640929534
Mirny,62.5353,113.9611,-7.35,98,100,2.66,RU,1640929446
Talnakh,69.4865,88.3972,-12.55,99,99,4.41,RU,1640929534
Mossamedes,-15.1961,12.1522,73.56,67,93,7.2,AO,1640929535
Vardø,70.3705,31.1107,28.67,52,99,16.24,NO,1640929535
Antakya,36.2066,36.1572,40.82,69,70,6.82,TR,1640929452
Puerto Ayora,-0.7393,-90.3518,68.9,86,95,7.67,EC,1640929535
Betanzos,43.2804,-8.2147,60.96,75,20,1.99,ES,1640929535
Faanui,-16.4833,-151.75,81.19,76,98,18.14,PF,1640929536
Port Blair,11.6667,92.75,83.55,68,4,17.78,IN,1640929536
Guadalajara de Buga,3.9009,-76.2978,69.51,94,92,0.43,CO,1640929536
Podor,16.6527,-14.9587,69.87,17,0,10.4,MR,1640929537
Barrow,71.2906,-156.7887,-20.18,69,1,8.05,US,1640929537
Morgan City,29.6994,-91.2068,75.02,100,90,10.36,US,1640929537
Rio Grande,-32.035,-52.0986,71.64,86,23,11.92,BR,1640929537
Ushuaia,-54.8,-68.3,47.86,57,40,3.44,AR,1640929537
Viedma,-40.8135,-62.9967,62.1,51,0,15.21,AR,1640929538
Harper,4.375,-7.7169,78.96,84,36,6.33,LR,1640929538
Kargasok,59.0556,80.8572,4.24,93,100,9.69,RU,1640929538
Fortuna,40.5982,-124.1573,42.42,95,90,0.0,US,1640929538
Talcahuano,-36.7167,-73.1167,53.28,76,0,9.22,CL,1640929538
Westport,41.1415,-73.3579,48.06,96,90,1.01,US,1640929539
George Town,5.4112,100.3354,85.98,69,40,1.01,MY,1640929484
Tasiilaq,65.6145,-37.6368,15.96,52,1,6.55,GL,1640929539
Bambous Virieux,-20.3428,57.7575,82.22,61,40,12.66,MU,1640929539
Isangel,-19.55,169.2667,86.11,84,75,4.61,VU,1640929540
Mozarlândia,-14.7447,-50.5706,69.13,99,100,3.67,BR,1640929540
Bireun,5.203,96.7009,76.26,91,100,6.55,ID,1640929540
Almeria,37.1667,-2.3333,42.96,45,3,4.5,ES,1640929541
Atuona,-9.8,-139.0333,79.03,70,6,18.54,PF,1640929542
Lagunas,-5.2269,-75.6753,71.83,93,96,2.71,PE,1640929542
Torbay,47.6666,-52.7314,28.76,87,90,1.99,CA,1640929542
Luján,-34.5703,-59.105,78.94,69,7,1.99,AR,1640929543
Souillac,-20.5167,57.5167,82.36,61,40,12.66,MU,1640929544
Vaini,-21.2,-175.2,82.56,89,75,6.91,TO,1640929545
Itarantim,-15.6597,-40.0656,67.37,97,94,1.14,BR,1640929546
Vao,-22.6667,167.4833,76.59,75,100,22.55,NC,1640929546
Katobu,-4.9408,122.5276,80.98,82,100,1.81,ID,1640929546
Port-Cartier,50.0334,-66.8654,26.71,91,100,4.7,CA,1640929547
Husavik,66.0449,-17.3389,17.51,89,65,13.65,IS,1640929547
Svarstad,59.399,9.9698,39.56,94,100,2.95,NO,1640929548
Saint-Philippe,-21.3585,55.7679,82.22,74,86,11.86,RE,1640929548
Pak Phanang,8.3511,100.202,87.82,76,46,13.09,TH,1640929370
Saint-Pierre,-21.3393,55.4781,82.29,62,0,17.27,RE,1640929548
Quelimane,-17.8786,36.8883,82.35,78,75,10.0,MZ,1640929549
Zolotkovo,55.5281,41.1053,10.62,98,97,4.76,RU,1640929550
Am Timan,11.0297,20.2827,72.99,31,36,3.96,TD,1640929550
Thompson,55.7435,-97.8558,-21.84,76,40,3.44,CA,1640929550
Saint Anthony,45.0205,-93.218,25.0,88,1,3.44,US,1640929551
Hermanus,-34.4187,19.2345,64.8,67,0,13.04,ZA,1640929551
East London,-33.0153,27.9116,66.61,83,96,7.85,ZA,1640929552
Lavrentiya,65.5833,-171.0,-17.75,94,32,9.78,RU,1640929552
Nyurba,63.2842,118.3319,-34.13,100,97,1.61,RU,1640929552
Nemuro,43.3236,145.575,23.43,61,32,14.12,JP,1640929553
Bandar-e Lengeh,26.5579,54.8807,68.11,73,90,11.5,IR,1640929553
Chui,-33.6971,-53.4616,66.99,95,16,7.18,UY,1640929553
Samarai,-10.6167,150.6667,84.2,75,100,9.01,PG,1640929553
Yatou,37.15,122.3833,34.45,47,21,4.81,CN,1640929554
Pangnirtung,66.1451,-65.7125,-4.88,66,61,5.99,CA,1640929554
Waddān,29.1614,16.139,52.77,88,70,7.38,LY,1640929554
Barra do Garças,-15.89,-52.2567,70.74,99,99,1.1,BR,1640929554
Wesselsbron,-27.8549,26.3658,72.28,52,0,10.83,ZA,1640929554
Erenhot,43.6475,111.9767,24.24,41,0,15.86,CN,1640929509
Papetoai,-17.4961,-149.8729,83.79,73,29,15.57,PF,1640929555
Grindavik,63.8424,-22.4338,34.27,75,0,10.36,IS,1640929555
Sivac,45.7033,19.3822,39.15,88,99,7.25,RS,1640929556
Codrington,-38.2667,141.9667,74.91,45,0,12.06,AU,1640929557
Alofi,-19.0595,-169.9187,82.29,74,59,8.05,NU,1640929557
Tuktoyaktuk,69.4541,-133.0374,-29.2,68,1,5.75,CA,1640929558
Bubaque,11.2833,-15.8333,79.0,59,100,7.29,GW,1640929558
Zaozyornoye,45.1582,33.2787,39.94,81,100,7.7,UA,1640929558
Ambilobe,-13.2,49.05,88.2,57,100,2.1,MG,1640929559
Pointe Michel,15.25,-61.3833,77.9,76,36,13.27,DM,1640929559
Oranjestad,12.524,-70.027,78.91,83,20,3.0,AW,1640929559
Saldanha,-33.0117,17.9442,59.05,68,0,2.89,ZA,1640929559
Kinkala,-4.3614,14.7644,71.91,98,100,2.39,CG,1640929559
Udachny,66.4167,112.4,-28.55,74,100,2.46,RU,1640929560
Khatanga,71.9667,102.5,-29.34,93,18,10.27,RU,1640929560
Ribeira Grande,38.5167,-28.7,58.55,69,97,25.3,PT,1640929560
Zhigansk,66.7697,123.3711,-35.55,97,100,10.85,RU,1640929561
Kavieng,-2.5744,150.7967,84.47,73,100,15.55,PG,1640929561
Atar,20.5169,-13.0499,64.58,28,0,8.99,MR,1640929561
